order_id,order_date,product_id,quantity,city,delivery_status,customer_id,delivery_time_mins,total_amount
151992,2024-02-08 00:38:00,135,1,Bangalore,Delivered,66921,28.0,182.49
109440,2024-05-31 15:49:00,102,1,Mumbai,Delivered,66646,38.0,23.25
126862,2024-01-17 23:41:00,110,1,Mumbai,Delivered,69586,12.0,60.43
167258,2024-11-12 09:42:00,121,3,Hyderabad,Delivered,66719,12.0,996.1200000000001
159614,2024-01-02 17:50:00,112,4,Bangalore,Delivered,50094,38.0,907.48
142207,2024-12-22 21:42:00,102,1,Mumbai,Delivered,50707,12.0,23.25
154156,2024-10-03 10:46:00,110,1,Delhi,Returned,51305,41.0,60.43
145362,2024-12-17 03:03:00,126,1,Mumbai,Delivered,61797,37.0,167.81
145920,2024-01-25 16:53:00,132,2,Chennai,Delivered,59874,15.0,956.76
121569,2024-10-23 07:46:00,113,1,Bangalore,Delivered,60873,10.0,59.29
132710,2024-10-20 15:08:00,132,3,Bangalore,Delivered,60503,26.0,1435.1399999999999
200474,2024-08-17 15:42:00,110,1,Ahmedabad,Delivered,65324,22.0,60.43
120895,2024-08-12 22:27:00,128,1,Delhi,Delivered,69578,11.0,193.52
187231,2024-02-21 03:12:00,102,1,Kolkata,Delivered,57160,22.0,23.25
186837,2024-10-14 18:08:00,102,1,Mumbai,Delivered,52447,25.0,23.25
185658,2024-09-05 01:53:00,102,3,Mumbai,Delivered,66043,34.0,69.75
185159,2024-02-04 21:06:00,108,1,Mumbai,Delivered,65450,43.0,31.3
176023,2024-07-30 19:55:00,134,1,Mumbai,Delivered,53267,33.0,390.59
200305,2024-09-15 10:01:00,113,1,Bangalore,Delivered,60497,25.0,59.29
194891,2024-10-03 12:49:00,102,1,Bangalore,Delivered,69102,35.0,23.25
181876,2024-02-08 12:38:00,112,1,Mumbai,Delivered,61179,39.0,226.87
188705,2024-09-19 01:29:00,135,1,Mumbai,Delivered,61279,28.0,182.49
108005,2024-09-19 16:25:00,102,1,Mumbai,Delivered,63150,12.0,23.25
105657,2024-02-21 12:46:00,118,1,Mumbai,Delivered,57971,14.0,256.24
160031,2024-03-01 04:54:00,112,1,Chennai,Delivered,64200,8.0,226.87
175149,2024-10-24 20:02:00,134,2,Bangalore,Delivered,55848,35.0,781.18
121568,2024-05-26 04:39:00,135,1,Mumbai,Cancelled,57335,32.0,182.49
